
2025/03/23 (03:09:03) | ===> btop++ v.1.4.0
2025/03/23 (03:09:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (03:09:29) | ===> btop++ v.1.4.0
2025/03/23 (03:09:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (03:09:37) | ===> btop++ v.1.4.0
2025/03/23 (03:09:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (03:09:51) | ===> btop++ v.1.4.0
2025/03/23 (03:09:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (03:10:14) | ===> btop++ v.1.4.0
2025/03/23 (03:10:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (03:10:50) | ===> btop++ v.1.4.0
2025/03/23 (03:10:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (03:11:54) | ===> btop++ v.1.4.0
2025/03/23 (03:11:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (03:16:32) | ===> btop++ v.1.4.0
2025/03/23 (03:16:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (03:16:35) | ===> btop++ v.1.4.0
2025/03/23 (03:16:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (03:18:43) | ===> btop++ v.1.4.0
2025/03/23 (03:18:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (04:27:02) | ===> btop++ v.1.4.0
2025/03/23 (04:27:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (04:47:27) | ===> btop++ v.1.4.0
2025/03/23 (04:47:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (05:39:20) | ===> btop++ v.1.4.0
2025/03/23 (05:39:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (18:06:52) | ===> btop++ v.1.4.0
2025/03/23 (18:06:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (20:35:27) | ===> btop++ v.1.4.0
2025/03/23 (20:35:27) | WARNING: Intel GPU: Failed to initialize PMU
